,企業名,セールスポイント,採用ステータス,初年度年収
546,株式会社當木工事 | ◆創業50年の老舗企業◆高収入・厚い待遇をご用意しています！,業績好調！大規模案件多数【設備施工管理(空調設備・衛生設備)】 正社員,正社員,"仕事内容 ＜大規模案件多数！＞オ当社が受注した空調設備・衛生設備の施工プロジェクトにおける現場の施工管理をお任せします！
対象となる方 【必須条件】★空調設備、または衛生設備の施工管理経験のある方【歓迎条件】◎管工事施工管理技士の資格をお持ちの方
勤務地 ■本社：東京都台東区東上野1-6-4 ・都営大江戸線・つくばエクスプレス「新御徒町駅」から徒歩5分…
給与 月給：25万円〜50万円 ※年齢・経験・能力を考慮の上、優遇いたします。 ※試用期間6ヵ月あり（条件面の…"
547,株式会社ケンオウ | お客様に快適を提供する技術者集団！/平均年収703万円(2019年度),スキルを活かし高収入を目指せる【空調衛生設備 管理技術者】 正社員,正社員,"仕事内容 空調・衛生設備の設計から施工、保守までお任せします◆先輩スタッフがじっくり教える+資格取得支援制度あり！
対象となる方 ◎要普免◎高校卒業以上◎空調設備や衛生設備の施工管理の実務経験(3年以上)◎管工事施工管理技士2級以上
勤務地 《Uターン/Iターン歓迎！マイカー通勤OK》 新潟県三条市石上3丁目10番13号
給与 月給：26万7,500円〜28万7,000円 ※経験・スキルに応じて優遇します。 ※試用期間1か月あり。その間の給…
初年度年収 370万円～550万円"
548,スリーエムホーム兵庫株式会社 | 淡路島エリアでトップクラス★設立19年で900棟以上の着工実績！,注文住宅・アイフルホームの【反響営業】★年収1000万円も可能！ 正社員,正社員,"仕事内容 【ブランドの認知度は高く、100％反響営業】お問い合わせいただいたお客様やモデルルームにお越しのお客様へ、理想のお住まいを提案します。
対象となる方 【未経験・第二新卒大歓迎】■高卒以上 ■要普免（AT限定OK）◎温かい人間関係を構築でき、お客様に寄り添った対応ができる方を歓迎
勤務地 【転勤なし／マイカー通勤OK（駐車場完備）】 アイフルホーム洲本店／兵庫県洲本市納218-1 ※U…
給与 【1／大卒以上・建築系の専門学校卒】 月給25万円以上 ＋ インセンティブ ＋ 賞与年2回 【2／建築系以外…"
549,スリーエムホーム高知株式会社 | 東証一部上場のLIXILグループが手掛ける『アイフルホーム』FC店,アイフルホームの【反響営業】◎完全週休2日制◎月給25万円以上 正社員,正社員,"仕事内容 《高いブランド認知度を誇る""アイフルホーム”。飛び込み営業は一切ありません★》モデルルームにお越しのお客様へ、理想のお住まいを提案します。
対象となる方 【未経験・第二新卒大歓迎／男女問わず活躍できる社風です】 ■要普免（AT限定OK）◎高卒以上 ◎一人ひとりのお客様に親身に向き合える方
勤務地 【転勤なし／マイカー通勤OK（駐車場完備）】 アイフルホーム高知東店／高知県高知市大津乙1241-…
給与 月給25万円 ＋ インセンティブ ＋ 賞与年2回 ※残業の有無に関わらず、20時間／5万円分の固定残業代が含…"
550,株式会社ウンノハウス | ☆完全週休2日制☆【研修・勉強会などスキルUPできる環境豊富】,分業制なので業務に集中できる！【インテリアコーディネーター】 正社員,正社員,"仕事内容 全体的な色柄バランス提案を含めたトータル的なコーディネートから住宅設備まで、当社が手がける住宅の家具や照明などインテリアコーディネートを担当
対象となる方 インテリアコーディネーターの有資格または、各種ショールーム等での接客・コーディネート提案実務経験者 ★二級建築士の有資格は歓迎
勤務地 【本社】 山形県山形市大野目4-1-37 <アクセス>山形北ICより車で4分 【UIターン歓迎！】…
給与 年俸制360万円〜420万円＋賞与 ※経験・年齢を考慮の上、当社規定により優遇します。 ※固定残業代(30時…
初年度年収 480万円～560万円"
551,株式会社ウンノハウス | 平均年収600万円以上／研修・勉強会などスキルUPできる環境豊富,"オンリーワン""の住まいづくり【住宅施工管理】 正社員",正社員,"仕事内容 新築戸建住宅の着工～引き渡しまでの施工管理・現場監督業務。事前工事、施工打合せ、監理、積算・発注業務、お客様立会い確認、引き渡し時の説明など
対象となる方 [必須]建築士(1級・2級)、建築施工管理技士(1級・2級)、いずれかの有資格者
勤務地 山形県、宮城県、福島県のいずれか ※希望勤務地考慮 【本社】 山形市大野目4-1-37 <アクセス…
給与 年俸制360万円〜480万円＋賞与 ※経験・年齢を考慮の上、当社規定により優遇します。 ※固定残業代(月30…
初年度年収 480万円～640万円"
552,株式会社中央建設コンサルタント | 《 創業58年の安定・老舗企業 》賞与年3回/長期連続休暇あり,沖縄に根差して年収700万円も目指せる！【 技術士 】転勤なし 正社員,正社員,"仕事内容 《沖縄のまちづくりに関われる！》官公庁発注の都市計画・交通計画など、総合的なまちづくりの調査・分析・計画・実装業務をお任せします。
対象となる方 建設コンサルタント・建築事務所でのまちづくりに関する実務経験者(年数不問)|男女/資格/学齢不問◎有資格者歓迎/優遇☆厚待遇・高収入をご用意
勤務地 《 転勤なし 》沖縄県浦添市宮城5丁目12番11号 ◎マイカー通勤OK ◎U・Iターン歓迎
給与 月給18万9000円〜 ※上記はあくまで最低保証です。 　年齢、経験、能力を考慮の上、優遇します。 ※最長…"
553,株式会社ウンノハウス | 平均年収600万円以上／研修・勉強会などスキルUPできる環境豊富,"安定企業で""オンリーワン""の住まいづくり【住宅設計】 正社員",正社員,"仕事内容 ≪完全自由設計の家≫ お客様の想いを汲み取り、プランニング～設計図面の作成など <分業制なので設計に集中できる/世界にひとつだけの家をデザイン>
対象となる方 《応募前の面談も受付中！》★即戦力歓迎★ ≪2級建築士以上の有資格者≫　自分のデザイン力を伸ばしたいと考える意欲的な方を歓迎します！
勤務地 山形県、福島県のいずれか ※希望勤務地考慮 【本社】 山形市大野目4-1-37 <アクセス>山形北…
給与 年俸制420万円〜600万円＋賞与 ※経験・年齢を考慮の上、当社規定により優遇します。 ※固定残業代(30時…
初年度年収 480万円～800万円"
554,株式会社マイプレイス | 東証二部上場の株式会社あかつき本社のグループ会社,ファミリー向け中古マンションの【仕入れ営業】をお任せします★ 正社員,正社員,"仕事内容 《中古マンションの仕入営業》仕入れ物件に関する情報収集◆物件の価格相場のリサーチ◆売買価格の査定◆リノベーションのコンセプト検討
対象となる方 【不動産営業経験者募集】経験の浅い方、ブランクのある方もOK◎不動産業界での仕入れ・営業経験をお持ちの方歓迎
勤務地 いずれかでの勤務 ※転居を伴う転勤なし 新宿営業部 東京都新宿区新宿2-5-12 FORECAST…
給与 月給 27万5,000円〜50万円 ※みなし残業代（月30時間分／5万円〜6万9,000円）含む+インセンティブ ※時間…
初年度年収 380万円～600万円"
555,株式会社ウンノハウス | 慣れ親しんだ場所で働きたいetc...Uターン歓迎!引越代サポート,業績賞与年4回！ワークライフバランスを実現☆【反響営業】 正社員,正社員,"仕事内容 ≪完全反響型営業≫ モデルハウスにご来場されたお客様のご対応～資金相談、宅地探し等【分業制/営業に集中できる環境！】★平均年収は600万円以上！
対象となる方 【必須条件】個人営業の経験をお持ちの方・普通自動車運転免許保有 【歓迎スキル】住宅関連業界及び不動産業界経験者
勤務地 山形県、宮城県のいずれか ※希望勤務地考慮 【本社】 山形市大野目4-1-37 <アクセス>山形北…
給与 年俸制420万円〜600万円＋賞与 ※固定残業代(月30時間/65,600円〜を含む) 超過分は別途支給。 ※経験・年…
初年度年収 490万円～800万円"
556,株式会社ウンノハウス | ＼ 賞与年4回！／ GW・夏季・年末年始は5～8日休み！,住宅関連の工事経験を活かす！【アフターメンテナンス】 正社員,正社員,"仕事内容 【サポート体制も抜群！】当社住宅の定期点検業務(1・2・5・10年)、アフター依頼やリフォーム工事依頼への対応業務などを中心に担当してもらいます。
対象となる方 30～40代が活躍中！【必須条件】◎普通自動車運転免許 ◎基本的なPCスキル(Excel、Word) ◎住宅関連の工事経験者(木工・電気・給排水・ボイラーなど）
勤務地 【仙台支店】 宮城県仙台市青葉区上杉3-9-59 <アクセス>仙台駅より車で8分 【UIターン歓迎…
給与 年俸制300万円〜420万円＋賞与年4回 ★月収例：250,000円〜350,000円 ※固定残業代(月30時間/46,800円〜…
初年度年収 400万円～560万円"
557,くにうみＡＩ証券株式会社 | ★くにうみアセットマネジメントグループ,【リテール営業】完全週休2日制(土日祝)・年間休日124日 正社員,正社員,"仕事内容 ＜金融商品取引営業＞個人富裕層や中小企業の経営者に、金融商品(株式・債券・投資信託など)のご提案や資産コンサルティングをお任せしていきます。
対象となる方 【20代～40代が活躍中】★証券営業経験3年以上 ★ワード・エクセル・パワーポイント基本操作 ★証券外務員１種資格
勤務地 ★転勤なし 東京都千代田区丸の内2-2-3 丸の内仲通りビル —アクセス— ・東京メトロ千代田線「…
給与 月給200,000円〜400,000円＋インセンティブ報酬 ※経験・能力・スキル等を考慮して決定します。 ※試用…"
